Product Name,Category,Sales,Profit,AI_Score,Recommendation
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.0784,15303.612479999998,Strong Buy
Canon imageCLASS 2200 Advanced Copier,Technology,17499.95,8399.976,14769.9578,Strong Buy
Canon imageCLASS 2200 Advanced Copier,Technology,13999.96,6719.9808,11815.966239999998,Strong Buy
Canon imageCLASS 2200 Advanced Copier,Technology,11199.968,3919.9888,9015.97424,Strong Buy
Canon imageCLASS 2200 Advanced Copier,Technology,10499.97,5039.9856,8861.97468,Strong Buy
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,9892.74,4946.37,8408.829,Strong Buy
Ibico EPK-21 Electric Binding System,Office Supplies,9449.95,4630.4755,8004.10765,Strong Buy
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,9099.93,2365.9818,7079.74554,Strong Buy
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,8749.95,2799.984,6964.9602,Strong Buy
Canon imageCLASS 2200 Advanced Copier,Technology,8399.976,1119.9968,6215.982239999999,Strong Buy
High Speed Automatic Electric Letter Opener,Office Supplies,8187.65,327.506,5829.6068,Strong Buy
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,6999.96,2239.9872,5571.968159999999,Strong Buy
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,6354.95,3177.475,5401.7074999999995,Strong Buy
Lexmark MX611dhe Monochrome Laser Printer,Technology,8159.952,-1359.992,5303.968800000001,Strong Buy
GBC DocuBind P400 Electric Binding System,Office Supplies,5443.96,2504.2216,4562.03848,Buy
Hewlett Packard LaserJet 3310 Copier,Technology,5399.91,2591.9568,4557.524039999999,Buy
Cubify CubeX 3D Printer Triple Head Print,Technology,7999.98,-3839.9904,4447.988879999999,Buy
Ativa V4110MDD Micro-Cut Shredder,Technology,4899.93,2400.9657,4150.24071,Buy
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,5083.96,1906.485,4130.7175,Buy
Canon PC1060 Personal Laser Copier,Technology,4899.93,2302.9671,4120.84113,Buy
